perfil_id,authority_name
4,EDITAR_PERFIL_PRIVILEGE
4,ELIMINAR_PERFIL_PRIVILEGE
4,VISUALIZAR_DOCUMENTO_PRIVILEGE
5,EDITAR_USUARIO_PRIVILEGE
5,VISUALIZAR_PROCEDIMIENTOS_PRIVILEGE
5,ELIMINAR_GRUPO_PRIVILEGE
5,DESCARGAR_ADJUNTO_PRIVILEGE
5,ELIMINAR_PLANTILLA_PRIVILEGE
5,ADJUNTAR_DOCUMENTO_PRIVILEGE
5,CREAR_FICHA_INGRESO_PRIVILAGE
5,VISUALIZAR_NOTIFICACION_PRIVILEGE
5,VISUALIZAR_USUARIO_PRIVILEGE
5,EDITAR_PROVIDENCIA_PRIVILEGE
5,ELIMINAR_DOCUMENTO_PRIVILEGE
5,VISUALIZAR_PLANTILLA_PRIVILEGE
5,DESCARGAR_DOCUMENTO_PRIVILEGE
5,VISUALIZAR_PROVIDENCIA_PRIVILEGE
5,VISUALIZAR_INVESTIGACION_PRIVILEGE
5,VISUALIZAR_MENU_USUARIO_PRIVILAGE
5,ACTUALIZAR_ADJUNTO_PRIVILEGE
5,ACTUALIZAR_DOCUMENTO_PRIVILEGE
5,VISUALIZAR_FICHA_INGRESO_PRIVILEGE
5,VISUALIZAR_DASHBOARD_PRIVILEGE
5,ASIGNAR_TIPO_A_PROVIDENCIA_PRIVILEGE
5,VISUALIZAR_ADJUNTO_PRIVILEGE
5,CREAR_PERFIL_PRIVILEGE
5,ADJUNTAR_ADJUNTO_PRIVILEGE
5,DERIVAR_PROVIDENCIA_PRIVILEGE
5,EDITAR_INVESTIGACION_PRIVILEGE
5,VISUALIZAR_GRUPO_PRIVILEGE
5,ELIMINAR_ADJUNTO_PRIVILEGE
5,CREAR_PROVIDENCIA_PRIVILEGE
5,CREAR_GRUPO_PRIVILEGE
5,CREAR_USUARIO_PRIVILEGE
5,VISUALIZAR_PERFIL_PRIVILEGE
5,VISUALIZAR_SUMARIO_PRIVILEGE
5,EDITAR_PLANTILLA_PRIVILEGE
5,CREAR_PLANTILLA_PRIVILEGE
5,EDITAR_GRUPO_PRIVILEGE
5,ELIMINAR_USUARIO_PRIVILEGE
5,EDITAR_PERFIL_PRIVILEGE
5,ELIMINAR_PERFIL_PRIVILEGE
5,VISUALIZAR_DOCUMENTO_PRIVILEGE
6,EDITAR_USUARIO_PRIVILEGE
6,VISUALIZAR_PROCEDIMIENTOS_PRIVILEGE
6,ELIMINAR_GRUPO_PRIVILEGE
6,DESCARGAR_ADJUNTO_PRIVILEGE
6,ELIMINAR_PLANTILLA_PRIVILEGE
6,ADJUNTAR_DOCUMENTO_PRIVILEGE
6,CREAR_FICHA_INGRESO_PRIVILAGE
6,VISUALIZAR_NOTIFICACION_PRIVILEGE
6,VISUALIZAR_USUARIO_PRIVILEGE
6,EDITAR_PROVIDENCIA_PRIVILEGE
6,ELIMINAR_DOCUMENTO_PRIVILEGE
6,VISUALIZAR_PLANTILLA_PRIVILEGE
6,DESCARGAR_DOCUMENTO_PRIVILEGE
6,VISUALIZAR_PROVIDENCIA_PRIVILEGE
6,VISUALIZAR_INVESTIGACION_PRIVILEGE
6,VISUALIZAR_MENU_USUARIO_PRIVILAGE
6,ACTUALIZAR_ADJUNTO_PRIVILEGE
